it-codigo;Custo
70.0499.00146;9,80
70.0499.00129;8,50
70.0077.00211;25,00
70.0077.00210;24,00
70.0077.00605;224,26
70.0499.00132;20,00
70.0499.00136;20,00
70.0499.00137;20,00
15.0077.00004;16,15
70.0049.00074;3,50
70.0499.00130;12,50
70.0499.00135;8,50
70.0499.00148;13,50
1000400170;3,13
1000400190;1,90
1212400041;1,90
70.0169.00003;13,47
70.0077.00040;9,95
15.0015.00033;3,50
70.0077.00567;327,68
80.0087.00119;5,46
80.0087.00169;8,50
80.0087.00170;5,30
15.0049.00014;52,94
70.0077.00728;21,50
70.0077.00730;21,50
70.0077.00732;26,50
70.0077.00734;22,00
70.0077.00736;22,00
70.0077.00738;25,00
70.0077.00740;21,50
70.0077.00742;21,50
70.0077.00744;21,50
15.0049.00015;26,34
15.0049.00010;18,21
70.0049.00277;29,61
70.0049.00196;5,76
0909400003;2,90
15.0049.00008;9,10
70.0191.00246;6,20
1000400191;3,87
70.0003.02877;6,10
70.0413.00036;13,40
70.0049.00201;12,50
15.0049.00009;10,00
15.0015.00011;78,51
15.0015.00016;25,86
15.0015.00019;81,68
15.0015.00020;14,20
15.0015.00021;16,14
15.0015.00024;33,83
15.0015.00025;33,83
15.0015.00026;29,15
15.0015.00027;29,15
15.0015.00058;23,17
15.0107.00004;31,98
15.0107.00001;69,43
15.0107.00002;55,65
15.0107.00005;21,10
15.0015.00004;14,35
15.0015.00005;12,30
15.0015.00006;14,27
15.0015.00007;1,84
15.0015.00012;5,50
15.0015.00017;7,16
15.0015.00023;4,50
15.0015.00056;3,95
15.0087.00024;1006,89
15.0015.00061;1,48
70.0499.00364;54,93
70.0499.00371;37,50
70.0499.00372;68,00
70.0499.00374;51,50
70.0499.00378;24,50
15.0015.00031;98,56
15.0015.00002;23,17
15.0071.00003;8,28
70.0519.00017;14,50
70.0519.00018;9,50
70.0813.00192;420,00
15.0015.00048;28,15
15.0071.00004;1,94
80.0015.00003;104,44
80.0015.00002;117,00
70.0087.00049;4,50
70.0087.00050;4,50
15.0143.00001;1,48
70.0813.00155;178,83
70.0499.00116;4,90
70.0499.00114;4,90
70.0499.00112;4,90
70.0499.00117;5,80
70.0499.00110;4,90
70.0499.00098;4,80
70.0499.00091;4,90
70.0813.00009;177,43
80.0813.00009;275,00
2020600310;33,17
15.0004.00006;125,76
15.0004.00014;20,70
15.0049.00037;14,72
15.0049.00038;12,70
15.0087.00001;2,51
15.0499.00028;369,86
15.0499.00029;222,20
15.0499.00031;139,25
15.0499.00038;82,19
15.0135.00021;35,95
70.0015.00102;30,00
70.0067.00125;5,72
15.0013.00001;7,86
15.0015.00042;8,30
15.0015.00038;9,97
1000100449;6,41
15.0483.00008;81,80
70.0573.00216;1250,00
70.0573.00120;1260,00
15.0015.00044;3,50
15.0015.00047;95,00
15.0004.00010;4,98
15.0135.00012;10,72
15.0135.00015;9,88
15.0135.00016;11,70
15.0135.00019;32,62
15.0135.00020;11,50
1000400127;8,90
15.0499.00096;17,80
15.0499.00097;58,35
15.0499.00098;33,85
15.0499.00099;56,43
15.0499.00100;28,35
15.0499.00101;31,67
15.0499.00102;915,21
15.0499.00103;839,58
15.0499.00105;23,47
2020600316;30,00
15.0195.00018;4,80
15.0195.00062;11,25
15.0195.00064;18,75
15.0195.00068;64,00
15.0195.00076;44,71
15.0195.00085;32,66
15.0195.00088;29,90
15.0195.00110;32,10
15.0195.00116;108,54
15.0195.00117;37,77
15.0195.00120;66,30
15.0195.00126;10,09
15.0195.00132;12,90
15.0195.00176;35,56
15.0195.00182;37,23
15.0195.00183;39,17
15.0195.00186;35,69
15.0195.00187;99,40
15.0195.00121;123,64
70.0077.00038;19,59
1000400161;3,22
1000400171;3,22
1000400177;3,22
70.0195.00454;209,58
70.0413.00274;12,02
2020600306;19,00
70.0195.00170;7,76
70.0195.01398;6,15
70.0195.02028;4,30
70.0499.00345;12,50
70.0499.00615;26,63
70.0499.00595;38,84
70.0499.00446;8,64
70.0499.00346;41,58
70.0499.00356;44,76
70.0499.00357;38,10
70.0499.00347;30,63
70.0499.00443;10,60
70.0499.00441;12,53
70.0499.00440;12,50
70.0499.00344;35,42
70.0195.03143;10,10
70.0195.03100;10,10
15.0004.00002;1,89
15.0004.00012;32,31
15.0004.00013;38,29
70.0004.00103;29,82
70.0499.00312;11,67
70.0499.00313;10,81
70.0499.00317;14,55
70.0611.00170;39,96
70.0049.00148;4,80
70.0049.00143;3,70
70.0049.00140;3,25
15.0087.00002;1,47
70.0049.00128;5,70
70.0049.00137;4,86
15.0049.00013;75,35
80.0015.00001;154,37
80.0013.00006;298,66
80.0803.00001;350,00
80.0803.00002;350,00
2020600006;43,00
70.0499.00400;11,70
70.0499.00294;12,00
70.0499.00297;9,70
70.0499.00295;8,00
70.0499.00303;14,23
70.0075.01776;49,95
70.0471.00397;16,70
70.0519.00065;23,30
70.0519.00085;26,65
70.0519.00105;29,97
70.0519.00125;21,65
70.0519.00126;31,65
70.0639.00065;34,82
80.0499.00025;83,32
80.0087.00202;4,70
80.0499.00026;83,32
70.0049.00698;17,05
15.0075.00008;6,54
70.0077.00347;39,21
15.0087.00003;26,96
15.0087.00004;25,96
15.0087.00005;25,96
70.0127.00080;9,45
15.0477.00001;61,00
15.0477.00002;63,64
70.0107.00056;32,74
80.0015.00019;257,56
80.0015.00020;70,00
80.0015.00021;227,26
80.0015.00022;205,37
15.0107.00006;180,00
15.0107.00007;29,14
15.0107.00008;42,26
15.0107.00009;81,84
15.0107.00010;118,28
15.0049.00020;23,63
15.0049.00021;10,95
15.0049.00022;23,63
15.0049.00023;7,97
15.0049.00024;11,77
15.0049.00028;22,50
15.0413.00001;13,61
15.0413.00002;10,12
70.0127.00122;10,10
70.0127.00056;113,00
70.0127.00082;9,60
70.0127.00090;35,25
15.0399.00008;4,31
15.0413.00012;29,59
15.0483.00013;9,59
15.0127.00029;10,13
70.0127.00079;13,96
70.0127.00116;16,90
15.0004.00007;3,50
15.0004.00015;1,80
2020600020;21,90
2020600317;19,00
81.0045.00005;441,60
15.0471.00002;38,31
15.0471.00004;15,23
15.0471.00005;12,66
15.0471.00006;49,97
15.0471.00007;161,73
15.0471.00008;8,96
15.0477.00003;91,81
15.0499.00003;41,68
15.0499.00004;40,66
15.0499.00006;35,88
15.0499.00008;62,95
15.0499.00010;56,25
15.0499.00012;26,45
15.0087.00006;105,24
15.0087.00007;17,96
15.0499.00001;104,35
15.0499.00002;38,97
15.0499.00005;30,16
15.0499.00009;26,54
15.0499.00011;22,42
15.0499.00014;189,59
15.0499.00015;22,99
15.0499.00016;204,47
70.0087.00080;36,43
70.0087.00083;16,10
80.0087.00167;11,00
70.0049.00722;16,65
80.0087.00181;17,00
70.0087.00023;21,14
70.0513.00108;19,31
70.0513.00105;13,32
70.0499.00589;19,88
70.0499.00599;19,93
70.0499.00602;23,60
70.0499.00603;22,54
80.0127.00023;1,56
70.0413.00273;26,29
70.0501.00009;26,64
70.0201.00054;1,23
70.0201.00089;3,22
15.0499.00026;31,21
15.0499.00027;56,78
3030100021;16,57
15.0107.00017;7,85
15.0107.00023;42,90
15.0107.00024;98,42
15.0049.00027;17,70
15.0499.00043;11,18
15.0107.00025;321,51
15.0499.00037;6,83
15.0499.00040;12,65
15.0499.00041;13,53
15.0499.00042;12,90
15.0107.00020;19,50
15.0107.00022;16,69
15.0107.00018;14,00
15.0107.00015;62,59
15.0107.00016;60,52
15.0499.00032;31,93
15.0499.00039;25,98
15.0107.00014;75,42
15.0107.00021;72,80
70.0049.00239;6,40
15.0499.00049;22,18
15.0499.00034;12,90
70.0499.00326;13,20
70.0499.00331;13,32
70.0499.00322;21,24
70.0499.00333;12,36
15.0499.00025;526,41
15.0499.00024;550,59
15.0499.00046;240,46
15.0499.00047;266,72
15.0499.00030;146,10
15.0649.00002;16,71
15.0649.00003;12,71
15.0649.00004;16,71
15.0049.00036;12,10
15.0001.00001;51,99
70.0413.00278;18,10
70.0413.00279;18,10
15.0087.00012;73,85
15.0499.00044;127,82
15.0499.00045;116,64
15.0477.00007;4,31
15.0191.00027;52,11
15.0191.00028;56,11
70.0519.00129;430,00
15.0049.00035;14,85
15.0499.00050;13,15
15.0499.00052;49,50
15.0499.00051;19,37
15.0499.00035;12,28
1000400227;3,92
1000400228;3,92
1000400229;10,52
15.0107.00012;23,49
15.0107.00013;23,55
80.0013.00002;378,33
70.0191.00848;2,15
15.0049.00025;30,61
15.0499.00053;19,37
15.0499.00054;20,30
15.0499.00055;17,02
15.0499.00056;21,69
15.0499.00059;15,33
15.0477.00005;99,96
15.0499.00060;27,34
70.0795.00213;69,74
70.0795.00228;68,74
70.0795.00272;28,58
15.0477.00006;7,55
1000400010;7,13
70.0797.00009;10,83
15.0499.00067;165,27
15.0499.00071;173,49
15.0499.00062;44,15
15.0499.00068;13,53
15.0499.00069;13,64
15.0499.00070;16,25
15.0499.00072;15,96
15.0499.00073;6,51
15.0499.00074;12,65
15.0499.00061;6,39
15.0499.00063;35,94
15.0075.00003;14,90
15.0075.00005;12,10
15.0075.00006;87,78
15.0004.00018;125,50
70.0499.00318;6,12
70.0499.00327;123,22
70.0499.00330;156,61
70.0499.00315;21,65
70.0499.00319;15,96
70.0499.00320;27,61
70.0499.00321;22,58
70.0499.00329;16,33
70.0499.00340;50,15
70.0499.00355;473,93
70.0499.00358;26,60
70.0499.00342;435,22
15.0477.00008;26,10
15.0399.00001;66,78
15.0195.00002;26,60
15.0195.00003;26,69
15.0195.00004;107,23
15.0195.00005;69,43
15.0195.00006;75,28
15.0195.00007;94,25
15.0195.00008;95,76
15.0195.00009;88,75
15.0499.00076;549,96
15.0519.00001;135,25
15.0519.00002;90,14
15.0519.00003;83,79
1000400200;6,40
15.0499.00077;528,10
70.0049.00622;234,62
1000100439;3,17
1000100223;3,17
1000100224;3,10
15.0521.00008;24,40
15.0521.00017;21,47
15.0499.00080;112,49
15.0499.00079;127,91
15.0195.00035;25,73
15.0195.00036;28,25
15.0195.00037;25,73
15.0195.00046;12,90
